Symbol,Date,Low,High,Open,Close,Volume,VolumeScaledNormalized,CloseDiff,WeekDiff,Sector,Label
NDAQ,2022-12-12,63.000999450683594,64.0,63.08000183105469,63.9900016784668,511049.0,0.5783357917466876,0.7900009155273438,-5.289997100830078,Financials,1
LKQ,2022-12-12,52.97999954223633,53.654998779296875,53.2599983215332,53.650001525878906,141877.0,0.5219507718646649,0.4200019836425781,-1.8500022888183592,Consumer Discretionary,1
LH,2022-12-12,225.6199951171875,231.0,231.32000732421875,228.30499267578125,279652.0,0.5518078638978903,-5.2550048828125,-8.210006713867216,Health Care,0
MDLZ,2022-12-12,66.9000015258789,67.33999633789062,67.33999633789062,67.0999984741211,921891.0,0.6042936110499096,0.0400009155273437,-1.029998779296875,Consumer Staples,1
PKI,2022-12-12,141.30999755859375,143.14999389648438,141.33999633789062,142.21499633789062,236351.0,0.544405989474828,3.06500244140625,-2.600006103515625,Health Care,1
MDT,2022-12-12,78.7699966430664,79.68000030517578,79.0999984741211,79.12999725341797,1787646.0,0.6334311137243098,0.5400009155273438,-0.660003662109375,Health Care,1
PLD,2022-12-12,115.3550033569336,117.4000015258789,116.4000015258789,116.58000183105467,417810.0,0.5694726618680777,0.2600021362304545,-0.779998779296875,Real Estate,1
MET,2022-12-12,71.56999969482422,72.43000030517578,72.26000213623047,72.16000366210938,775510.0,0.5966858825172663,-0.029998779296875,-4.459999084472656,Financials,0
LEG,2022-12-12,32.5,33.92499923706055,33.68000030517578,33.4900016784668,621017.0,0.5869109192687729,-1.7199974060058594,-0.5300025939941406,Consumer Discretionary,0
PEP,2022-12-12,182.35499572753903,184.17999267578125,184.17999267578125,182.7599945068359,709346.0,0.5927621475248289,-0.3400115966796875,-2.799987792968807,Consumer Staples,0
MGM,2022-12-12,35.72999954223633,36.529998779296875,36.220001220703125,36.51499938964844,527797.0,0.5797546000823145,0.1650009155273437,-0.920001983642578,Consumer Discretionary,1
PEG,2022-12-12,59.71500015258789,60.17499923706055,60.119998931884766,60.02000045776367,590925.0,0.5847255092510455,0.25,-0.6300010681152344,Utilities,1
KSS,2022-12-12,26.16390037536621,26.700000762939453,26.469999313354492,26.690000534057617,579010.0,0.5838292745741784,0.2600002288818359,-5.369998931884766,Consumer Discretionary,1
PNC,2022-12-12,152.13499450683594,154.7949981689453,154.58999633789062,154.7899932861328,598879.0,0.5853137986994406,0.709991455078125,-10.720001220703123,Financials,1
MHK,2022-12-12,99.34049987792967,102.01000213623048,99.91999816894533,101.5,229358.0,0.5430845270061285,2.0500030517577983,-3.4500045776367045,Consumer Discretionary,1
KR,2022-12-12,46.040000915527344,46.68000030517578,46.540000915527344,46.220001220703125,1135528.0,0.6134641884675813,-0.25,-1.9399986267089844,Consumer Staples,0
MKC,2022-12-12,85.23999786376953,85.68000030517578,85.69000244140625,85.51499938964844,139853.0,0.5213185682731137,0.2350006103515625,-0.4500045776367187,Consumer Staples,1
KO,2022-12-12,63.0099983215332,63.40999984741211,63.29999923706055,63.275001525878906,2866553.0,0.6542080109863174,0.1350021362304687,-0.6500015258789062,Consumer Staples,1
KMX,2022-12-12,65.0,66.11000061035156,65.66999816894531,65.83999633789062,394894.0,0.5669906969193317,0.1399993896484375,-3.4000015258789062,Consumer Discretionary,1
PM,2022-12-12,101.62999725341795,102.36199951171876,102.1999969482422,101.9499969482422,723173.0,0.59361155408411,-0.1399993896484233,-0.3700027465820312,Consumer Staples,0
LLY,2022-12-12,362.5,367.1700134277344,362.9299926757813,365.9200134277344,675973.0,0.5906418147657911,4.930023193359375,-9.339996337890623,Health Care,1
MCO,2022-12-12,287.44500732421875,289.8399963378906,288.739990234375,289.04998779296875,124879.0,0.5163358417099905,1.079986572265625,-18.1099853515625,Financials,1
PKG,2022-12-12,134.25999450683594,135.48500061035156,135.5,134.90499877929688,122272.0,0.5154075886070512,-0.2050018310546875,-1.0500030517578125,Materials,0
MA,2022-12-12,349.69000244140625,355.8550109863281,350.30999755859375,355.8550109863281,598528.0,0.5852880034478553,7.0250244140625,-11.970001220703068,Information Technology,1
M,2022-12-12,21.63999938964844,22.1200008392334,22.010000228881836,21.834999084472656,1649479.0,0.6298918086661673,-0.2350006103515625,-1.1100006103515625,Consumer Discretionary,0
MAA,2022-12-12,159.5800018310547,162.0,161.63999938964844,160.85499572753906,80022.0,0.4967544565023543,-0.785003662109375,-2.5800018310546875,Real Estate,0
LYB,2022-12-12,80.70999908447266,81.75,81.43000030517578,81.62999725341797,232814.0,0.5437425657665781,0.1699981689453125,-3.1800003051757812,Materials,1
MAR,2022-12-12,159.4600067138672,162.0850067138672,161.00999450683594,162.0850067138672,372084.0,0.5643728485235332,0.9250030517578124,-4.029998779296875,Consumer Discretionary,1
LUV,2022-12-12,37.76499938964844,38.5,37.91999816894531,38.494998931884766,740118.0,0.5946306260369519,0.4850006103515625,-2.0700035095214844,Industrials,1
MAT,2022-12-12,16.94499969482422,17.1299991607666,17.1299991607666,17.014999389648438,908031.0,0.6036270903537758,-0.125,-1.3100013732910156,Consumer Discretionary,0
LRCX,2022-12-12,449.0849914550781,461.6099853515625,460.0299987792969,456.3800048828125,375569.0,0.5647830335879839,6.179992675781193,-12.940002441406191,Information Technology,1
PFG,2022-12-12,87.30000305175781,88.79000091552734,88.47000122070312,88.63999938964844,353452.0,0.5621125283284374,0.5699996948242188,-2.849998474121108,Financials,1
PH,2022-12-12,288.4200134277344,291.49639892578125,290.2300109863281,290.80999755859375,113705.0,0.5122114803969259,1.3699951171875,-8.079986572265625,Industrials,1
LOW,2022-12-12,201.0399932861328,202.58999633789065,202.2899932861328,202.3800048828125,554719.0,0.5819435554807556,0.6100006103515341,-13.709991455078068,Consumer Discretionary,1
MCD,2022-12-12,271.2799987792969,274.5249938964844,272.19000244140625,274.4200134277344,603551.0,0.5856557148782507,2.3800048828125,-1.3599853515625,Consumer Discretionary,1
PFE,2022-12-12,51.75,52.279998779296875,52.119998931884766,52.220001220703125,4307284.0,0.6721243761645298,0.5,0.6399993896484375,Health Care,1
